Tensao,Derivada,2aDerivada,Bateria
3.6065,0.005 ,0.0005,0
3.60625,0.005 ,0.000125,0
3.605625,0.005 ,0.0005,0
3.60525,0.005 ,-0.000125,0
3.604625,0.005 ,0.000625,0
3.60375,0.005 ,0.000375,0
3.603375,0.005 ,0.00075,0
3.60275,0.005 ,0.000875,0
3.60225,0.006 ,0.00075,0
3.60175,0.005 ,0.000625,0
3.600875,0.006 ,0.000625,0
3.600375,0.006 ,0.001125,0
3.599875,0.006 ,0.00075,0
3.59925,0.006 ,0.00125,0
3.598625,0.006 ,0.000875,0
3.597875,0.006 ,0.000625,0
3.59725,0.006 ,0.00075,0
3.5965,0.006 ,0.000875,0
3.596125,0.006 ,0.000625,0
3.5955,0.006 ,0.000875,0
3.59475,0.006 ,0.0005,0
3.594125,0.006 ,0.000375,0
3.593375,0.007 ,0.00075,0
3.592625,0.007 ,0.000625,0
3.592,0.007 ,0.000625,0
3.591125,0.007 ,0.000875,0
3.5905,0.007 ,0.000625,0
3.589625,0.007 ,0.000625,0
3.589,0.007 ,0.001,0
3.58825,0.007 ,0.001,0
3.587625,0.007 ,0.001,0
3.58675,0.007 ,0.001125,0
3.586,0.007 ,0.000875,0
3.58525,0.007 ,0.00075,0
3.58425,0.008 ,0.001125,0
3.58325,0.008 ,0.001125,0
3.582375,0.008 ,0.001375,0
3.581625,0.008 ,0.001125,0
3.5805,0.008 ,0.001375,0
3.579875,0.008 ,0.001125,0
3.578875,0.009 ,0.001625,0
3.578,0.009 ,0.001375,0
3.57725,0.009 ,0.001375,0
3.576375,0.009 ,0.0015,0
3.575375,0.009 ,0.001125,0
3.574125,0.009 ,0.00125,0
3.57325,0.009 ,0.001,0
3.572125,0.010 ,0.0015,0
3.57125,0.009 ,0.00075,0
3.57025,0.010 ,0.00125,0
3.569375,0.010 ,0.00075,0
3.568125,0.010 ,0.001125,0
3.567,0.010 ,0.0015,0
3.566125,0.010 ,0.001375,0
3.565,0.010 ,0.0015,0
3.56375,0.010 ,0.00125,0
3.562625,0.011 ,0.0015,0
3.561625,0.010 ,0.001,0
3.5605,0.011 ,0.0015,0
3.559125,0.011 ,0.0015,0
3.558,0.011 ,0.001875,0
3.556875,0.011 ,0.001375,0
3.555375,0.012 ,0.001375,0
3.55425,0.012 ,0.001625,0
3.552875,0.012 ,0.00175,0
3.5515,0.012 ,0.001875,0
3.550375,0.012 ,0.001625,0
3.549125,0.013 ,0.002,0
3.5475,0.013 ,0.00225,0
3.546125,0.013 ,0.001875,0
3.545,0.013 ,0.001625,0
3.5435,0.013 ,0.002125,0
3.542125,0.013 ,0.001625,0
3.540625,0.014 ,0.00175,0
3.53925,0.014 ,0.0015,0
3.538,0.014 ,0.00125,0
3.53625,0.014 ,0.001875,0
3.534375,0.015 ,0.00225,0
3.53325,0.014 ,0.00125,0
3.5315,0.015 ,0.001625,0
3.529875,0.015 ,0.002125,0
3.52825,0.015 ,0.001875,0
3.526625,0.016 ,0.00225,0
3.52525,0.015 ,0.00175,0
3.523125,0.016 ,0.0025,0
3.5215,0.016 ,0.003,0
3.51975,0.017 ,0.002375,0
3.518125,0.016 ,0.0015,0
3.516375,0.017 ,0.002625,0
3.514625,0.017 ,0.00225,0
3.5125,0.017 ,0.00225,0
3.510625,0.018 ,0.002375,0
3.5085,0.018 ,0.002625,0
3.506625,0.019 ,0.00325,0
3.504875,0.018 ,0.002125,0
3.50275,0.019 ,0.00225,0
3.500625,0.019 ,0.002625,0
3.4985,0.020 ,0.003375,0
3.49625,0.020 ,0.00325,0
3.494,0.021 ,0.00375,0
3.491625,0.021 ,0.0035,0
3.489125,0.021 ,0.003875,0
3.48675,0.022 ,0.003625,0
3.484375,0.022 ,0.003625,0
3.4815,0.023 ,0.005125,0
3.478875,0.024 ,0.005125,0
3.476,0.025 ,0.0055,0
3.47325,0.025 ,0.005625,0
3.47025,0.026 ,0.005875,0
3.467,0.027 ,0.006375,0
3.4635,0.028 ,0.00725,0
3.46025,0.029 ,0.007375,0
3.456375,0.030 ,0.008625,0
3.45275,0.032 ,0.009375,0
3.44825,0.033 ,0.009875,0
3.443875,0.035 ,0.011125,0
3.4395,0.037 ,0.011875,0
3.434875,0.038 ,0.013125,0
3.4295,0.041 ,0.01475,0
3.424125,0.043 ,0.015875,0
3.41825,0.045 ,0.017125,0
3.41225,0.048 ,0.019125,0
3.406,0.050 ,0.02,0
3.399625,0.053 ,0.0215,0
3.3925,0.056 ,0.0225,0
3.38525,0.059 ,0.023625,0
3.377375,0.062 ,0.025625,0
3.36925,0.066 ,0.02725,0
3.360375,0.069 ,0.028375,0
3.351125,0.073 ,0.030125,0
3.341,0.077 ,0.032,0
