Tensao,Derivada,Bateria
3.5805,0.00085,0
3.579875,0.0008375,0
3.578875,0.000875,0
3.578,0.000875,0
3.57725,0.000875,0
3.576375,0.0008875,0
3.575375,0.0008875,0
3.574125,0.0009125,0
3.57325,0.0009125,0
3.572125,0.00095,0
3.57125,0.000925,0
3.57025,0.0009625,0
3.569375,0.00095,0
3.568125,0.0009875,0
3.567,0.001025,0
3.566125,0.001025,0
3.565,0.0010375,0
3.56375,0.0010375,0
3.562625,0.0010625,0
3.561625,0.00105,0
3.5605,0.001075,0
3.559125,0.0011125,0
3.558,0.0011375,0
3.556875,0.001125,0
3.555375,0.0011625,0
3.55425,0.0011875,0
3.552875,0.0012125,0
3.5515,0.001225,0
3.550375,0.001225,0
3.549125,0.00125,0
3.5475,0.0013,0
3.546125,0.0013,0
3.545,0.0013,0
3.5435,0.0013375,0
3.542125,0.001325,0
3.540625,0.0013625,0
3.53925,0.0013625,0
3.538,0.00135,0
3.53625,0.0014125,0
3.534375,0.001475,0
3.53325,0.001425,0
3.5315,0.0014625,0
3.529875,0.0015125,0
3.52825,0.001525,0
3.526625,0.00155,0
3.52525,0.0015375,0
3.523125,0.0016125,0
3.5215,0.00165,0
3.51975,0.00165,0
3.518125,0.001625,0
3.516375,0.0016875,0
3.514625,0.0016875,0
3.5125,0.0017375,0
3.510625,0.0017625,0
3.5085,0.0018125,0
3.506625,0.0018625,0
3.504875,0.001825,0
3.50275,0.001875,0
3.500625,0.0019125,0
3.4985,0.0019625,0
3.49625,0.0020125,0
3.494,0.0020625,0
3.491625,0.0020875,0
3.489125,0.00215,0
3.48675,0.002175,0
3.484375,0.002225,0
3.4815,0.0023375,0
3.478875,0.0023875,0
3.476,0.0024625,0
3.47325,0.002525,0
3.47025,0.0026,0
3.467,0.0027,0
3.4635,0.0028125,0
3.46025,0.0028875,0
3.456375,0.0030375,0
3.45275,0.0031625,0
3.44825,0.003325,0
3.443875,0.0035,0
3.4395,0.00365,0
3.434875,0.0038375,0
3.4295,0.004075,0
3.424125,0.0042875,0
3.41825,0.004525,0
3.41225,0.0048,0
3.406,0.0050375,0
3.399625,0.0053125,0
3.3925,0.005575,0
3.38525,0.0058625,0
