Tensao,Derivada,Derivada2a,Bateria
3.6294,0.0031,-0.0003,0
3.6291,0.0034,0.0004,0
3.6288,0.0031,-0.0002,0
3.6288,0.0027,-0.0007,0
3.6281,0.0031,-0.0001,0
3.6280,0.0030,-0.0001,0
3.6274,0.0035,0.0005,0
3.6273,0.0031,-0.0001,0
3.6269,0.0033,0.0000,0
3.6266,0.0034,0.0005,0
3.6264,0.0030,-0.0001,0
3.6259,0.0033,-0.0001,0
3.6256,0.0031,0.0000,0
3.6254,0.0034,0.0006,0
3.6249,0.0032,0.0001,0
3.6246,0.0034,0.0004,0
3.6240,0.0034,-0.0001,0
3.6239,0.0034,0.0002,0
3.6238,0.0031,-0.0001,0
3.6233,0.0034,0.0000,0
3.6229,0.0035,0.0005,0
3.6224,0.0035,0.0002,0
3.6221,0.0035,0.0004,0
3.6219,0.0035,0.0001,0
3.6214,0.0035,0.0003,0
3.6210,0.0036,0.0003,0
3.6206,0.0034,0.0000,0
3.6205,0.0034,0.0000,0
3.6200,0.0038,0.0006,0
3.6196,0.0036,0.0002,0
3.6193,0.0036,0.0001,0
3.6191,0.0033,-0.0002,0
3.6185,0.0036,0.0001,0
3.6181,0.0038,0.0003,0
3.6178,0.0036,0.0001,0
3.6173,0.0038,0.0001,0
3.6169,0.0037,0.0004,0
3.6165,0.0040,0.0006,0
3.6160,0.0040,0.0002,0
3.6156,0.0040,0.0004,0
3.6151,0.0041,0.0005,0
3.6149,0.0043,0.0010,0
3.6143,0.0042,0.0006,0
3.6139,0.0042,0.0005,0
3.6134,0.0044,0.0008,0
3.6126,0.0046,0.0009,0
3.6125,0.0044,0.0006,0
3.6119,0.0046,0.0006,0
3.6115,0.0045,0.0005,0
3.6110,0.0046,0.0006,0
3.6106,0.0045,0.0004,0
3.6100,0.0049,0.0006,0
3.6098,0.0045,0.0003,0
3.6090,0.0049,0.0006,0
3.6088,0.0046,0.0002,0
3.6081,0.0045,-0.0001,0
3.6078,0.0047,0.0004,0
3.6071,0.0048,0.0001,0
3.6065,0.0050,0.0005,0
3.6063,0.0048,0.0001,0
3.6056,0.0050,0.0005,0
3.6053,0.0048,-0.0001,0
3.6046,0.0051,0.0006,0
3.6038,0.0052,0.0004,0
3.6034,0.0054,0.0008,0
3.6028,0.0054,0.0009,0
3.6023,0.0055,0.0008,0
3.6018,0.0054,0.0006,0
3.6009,0.0056,0.0006,0
3.6004,0.0059,0.0011,0
3.5999,0.0057,0.0007,0
3.5993,0.0060,0.0012,0
3.5986,0.0060,0.0009,0
3.5979,0.0059,0.0006,0
3.5973,0.0061,0.0008,0
3.5965,0.0063,0.0009,0
3.5961,0.0061,0.0006,0
3.5955,0.0062,0.0009,0
3.5948,0.0061,0.0005,0
3.5941,0.0063,0.0004,0
3.5934,0.0065,0.0008,0
3.5926,0.0066,0.0006,0
3.5920,0.0066,0.0006,0
3.5911,0.0068,0.0009,0
3.5905,0.0067,0.0006,0
3.5896,0.0069,0.0006,0
3.5890,0.0071,0.0010,0
3.5883,0.0073,0.0010,0
3.5876,0.0071,0.0010,0
3.5868,0.0074,0.0011,0
3.5860,0.0074,0.0009,0
3.5853,0.0074,0.0008,0
3.5843,0.0077,0.0011,0
3.5833,0.0079,0.0011,0
3.5824,0.0081,0.0014,0
3.5816,0.0080,0.0011,0
3.5805,0.0085,0.0014,0
3.5799,0.0084,0.0011,0
3.5789,0.0088,0.0016,0
3.5780,0.0087,0.0014,0
3.5773,0.0087,0.0014,0
3.5764,0.0089,0.0015,0
3.5754,0.0089,0.0011,0
3.5741,0.0091,0.0012,0
3.5733,0.0091,0.0010,0
3.5721,0.0095,0.0015,0
3.5713,0.0092,0.0008,0
3.5703,0.0096,0.0013,0
3.5694,0.0095,0.0008,0
3.5681,0.0099,0.0011,0
3.5670,0.0102,0.0015,0
3.5661,0.0102,0.0014,0
3.5650,0.0104,0.0015,0
3.5638,0.0104,0.0013,0
3.5626,0.0106,0.0015,0
3.5616,0.0105,0.0010,0
3.5605,0.0108,0.0015,0
3.5591,0.0111,0.0015,0
3.5580,0.0114,0.0019,0
3.5569,0.0112,0.0014,0
3.5554,0.0116,0.0014,0
3.5543,0.0119,0.0016,0
3.5529,0.0121,0.0017,0
3.5515,0.0123,0.0019,0
3.5504,0.0122,0.0016,0
3.5491,0.0125,0.0020,0
3.5475,0.0130,0.0022,0
3.5461,0.0130,0.0019,0
3.5450,0.0130,0.0016,0
3.5435,0.0134,0.0021,0
3.5421,0.0132,0.0016,0
3.5406,0.0136,0.0017,0
3.5393,0.0136,0.0015,0
3.5380,0.0135,0.0012,0
3.5363,0.0141,0.0019,0
3.5344,0.0147,0.0022,0
3.5333,0.0143,0.0013,0
3.5315,0.0146,0.0016,0
3.5299,0.0151,0.0021,0
3.5283,0.0153,0.0019,0
3.5266,0.0155,0.0023,0
3.5253,0.0154,0.0017,0
3.5231,0.0161,0.0025,0
3.5215,0.0165,0.0030,0
3.5198,0.0165,0.0024,0
3.5181,0.0163,0.0015,0
3.5164,0.0169,0.0026,0
3.5146,0.0169,0.0023,0
3.5125,0.0174,0.0023,0
3.5106,0.0176,0.0024,0
3.5085,0.0181,0.0026,0
3.5066,0.0186,0.0033,0
3.5049,0.0183,0.0021,0
3.5028,0.0188,0.0023,0
3.5006,0.0191,0.0026,0
3.4985,0.0196,0.0034,0
3.4963,0.0201,0.0033,0
3.4940,0.0206,0.0037,0
3.4916,0.0209,0.0035,0
3.4891,0.0215,0.0039,0
3.4868,0.0217,0.0036,0
3.4844,0.0223,0.0036,0
3.4815,0.0234,0.0051,0
3.4789,0.0239,0.0051,0
3.4760,0.0246,0.0055,0
3.4733,0.0253,0.0056,0
3.4703,0.0260,0.0059,0
3.4670,0.0270,0.0064,0
3.4635,0.0281,0.0073,0
3.4603,0.0289,0.0074,0
3.4564,0.0304,0.0086,0
3.4528,0.0316,0.0094,0
3.4483,0.0333,0.0099,0
3.4439,0.0350,0.0111,0
3.4395,0.0365,0.0119,0
3.4349,0.0384,0.0131,0
3.4295,0.0408,0.0148,0
3.4241,0.0429,0.0159,0
3.4183,0.0452,0.0171,0
3.4123,0.0480,0.0191,0
3.4060,0.0504,0.0200,0
3.3996,0.0531,0.0215,0
3.3925,0.0557,0.0225,0
3.3853,0.0586,0.0236,0
3.3774,0.0621,0.0256,0
3.3693,0.0656,0.0272,0
3.3604,0.0691,0.0284,0
3.3511,0.0730,0.0301,0
3.3410,0.0773,0.0320,0
3.3310,0.0813,0.0333,0
3.3198,0.0863,0.0359,0
3.3074,0.0922,0.0391,0
3.2944,0.0981,0.0424,0
3.2796,0.1056,0.0470,0
3.2640,0.1134,0.0513,0
3.2455,0.1238,0.0581,0
3.2224,0.1380,0.0689,0
3.1866,0.1645,0.0915,0
3.9848,0.0340,-0.0251,1
3.9815,0.0333,-0.0152,1
3.9788,0.0323,-0.0125,1
3.9760,0.0313,-0.0113,1
3.9733,0.0307,-0.0098,1
3.9704,0.0301,-0.0094,1
3.9679,0.0294,-0.0088,1
3.9651,0.0289,-0.0080,1
3.9628,0.0280,-0.0077,1
3.9601,0.0275,-0.0076,1
3.9575,0.0273,-0.0067,1
3.9554,0.0261,-0.0071,1
3.9529,0.0259,-0.0064,1
3.9504,0.0256,-0.0056,1
3.9480,0.0252,-0.0055,1
3.9458,0.0246,-0.0055,1
3.9436,0.0243,-0.0051,1
3.9410,0.0241,-0.0048,1
3.9391,0.0236,-0.0044,1
3.9368,0.0234,-0.0041,1
3.9346,0.0229,-0.0044,1
3.9325,0.0229,-0.0032,1
3.9304,0.0225,-0.0034,1
3.9283,0.0221,-0.0035,1
3.9260,0.0220,-0.0032,1
3.9239,0.0219,-0.0028,1
3.9218,0.0219,-0.0024,1
3.9195,0.0215,-0.0026,1
3.9176,0.0215,-0.0021,1
3.9154,0.0214,-0.0020,1
3.9135,0.0211,-0.0018,1
3.9116,0.0209,-0.0020,1
3.9096,0.0207,-0.0018,1
3.9075,0.0208,-0.0014,1
3.9056,0.0204,-0.0016,1
3.9034,0.0205,-0.0014,1
3.9016,0.0201,-0.0017,1
3.8996,0.0199,-0.0016,1
3.8979,0.0198,-0.0017,1
3.8959,0.0195,-0.0019,1
3.8939,0.0196,-0.0015,1
3.8920,0.0196,-0.0013,1
3.8899,0.0198,-0.0010,1
3.8879,0.0196,-0.0011,1
3.8861,0.0195,-0.0009,1
3.8843,0.0191,-0.0014,1
3.8824,0.0193,-0.0009,1
3.8808,0.0189,-0.0010,1
3.8789,0.0190,-0.0008,1
3.8768,0.0191,-0.0004,1
3.8749,0.0190,-0.0006,1
3.8731,0.0189,-0.0008,1
3.8715,0.0184,-0.0014,1
3.8695,0.0184,-0.0012,1
3.8680,0.0181,-0.0014,1
3.8659,0.0184,-0.0008,1
3.8643,0.0181,-0.0011,1
3.8626,0.0181,-0.0008,1
3.8608,0.0181,-0.0009,1
3.8590,0.0178,-0.0014,1
3.8570,0.0179,-0.0011,1
3.8554,0.0178,-0.0011,1
3.8535,0.0180,-0.0004,1
3.8519,0.0176,-0.0007,1
3.8500,0.0180,-0.0001,1
3.8486,0.0172,-0.0011,1
3.8468,0.0175,-0.0006,1
3.8450,0.0176,-0.0005,1
3.8434,0.0174,-0.0007,1
3.8419,0.0171,-0.0006,1
3.8400,0.0170,-0.0009,1
3.8381,0.0172,-0.0005,1
3.8363,0.0173,-0.0007,1
3.8350,0.0169,-0.0008,1
3.8331,0.0169,-0.0011,1
3.8316,0.0170,-0.0002,1
3.8299,0.0169,-0.0006,1
3.8279,0.0171,-0.0005,1
3.8264,0.0170,-0.0004,1
3.8246,0.0173,0.0001,1
3.8230,0.0170,0.0000,1
3.8214,0.0167,-0.0005,1
3.8195,0.0168,-0.0005,1
3.8180,0.0170,0.0001,1
3.8163,0.0169,0.0000,1
3.8148,0.0169,-0.0001,1
3.8128,0.0171,0.0003,1
3.8114,0.0165,-0.0006,1
3.8096,0.0168,-0.0002,1
3.8080,0.0166,-0.0006,1
3.8064,0.0166,-0.0004,1
3.8049,0.0165,-0.0002,1
3.8031,0.0164,-0.0004,1
3.8015,0.0165,-0.0005,1
3.7998,0.0165,-0.0004,1
3.7981,0.0166,-0.0002,1
3.7968,0.0160,-0.0011,1
3.7949,0.0165,0.0000,1
3.7931,0.0165,-0.0002,1
3.7918,0.0162,-0.0004,1
3.7903,0.0161,-0.0005,1
3.7885,0.0164,-0.0001,1
3.7868,0.0164,0.0000,1
3.7850,0.0165,0.0000,1
3.7835,0.0162,-0.0002,1
3.7820,0.0161,-0.0005,1
3.7804,0.0164,0.0004,1
3.7788,0.0161,-0.0004,1
3.7773,0.0159,-0.0006,1
3.7758,0.0160,-0.0002,1
3.7738,0.0165,0.0004,1
3.7725,0.0160,-0.0004,1
3.7708,0.0160,-0.0004,1
3.7693,0.0157,-0.0008,1
3.7674,0.0161,-0.0001,1
3.7659,0.0161,0.0000,1
3.7643,0.0161,-0.0003,1
3.7626,0.0161,0.0000,1
3.7614,0.0159,0.0000,1
3.7595,0.0162,0.0002,1
3.7581,0.0156,-0.0009,1
3.7563,0.0162,0.0002,1
3.7549,0.0159,-0.0001,1
3.7534,0.0159,0.0001,1
3.7515,0.0159,-0.0002,1
3.7504,0.0155,-0.0006,1
3.7486,0.0156,-0.0005,1
3.7470,0.0156,-0.0005,1
3.7455,0.0159,0.0000,1
3.7439,0.0156,-0.0006,1
3.7423,0.0159,0.0002,1
3.7408,0.0155,-0.0007,1
3.7393,0.0156,-0.0003,1
3.7379,0.0155,-0.0004,1
3.7361,0.0154,-0.0005,1
3.7346,0.0157,0.0002,1
3.7329,0.0157,0.0001,1
3.7314,0.0156,0.0000,1
3.7300,0.0155,-0.0004,1
3.7284,0.0155,-0.0001,1
3.7268,0.0155,-0.0004,1
3.7253,0.0155,0.0000,1
3.7236,0.0156,0.0000,1
3.7223,0.0156,0.0001,1
3.7208,0.0154,0.0000,1
3.7193,0.0154,-0.0004,1
3.7179,0.0150,-0.0007,1
3.7160,0.0154,-0.0003,1
3.7146,0.0154,-0.0001,1
3.7131,0.0153,-0.0003,1
3.7116,0.0151,-0.0004,1
3.7103,0.0150,-0.0005,1
3.7089,0.0148,-0.0009,1
3.7070,0.0153,-0.0004,1
3.7058,0.0150,-0.0004,1
3.7043,0.0150,-0.0004,1
3.7026,0.0153,0.0002,1
3.7013,0.0147,-0.0006,1
3.6996,0.0150,-0.0004,1
3.6983,0.0149,-0.0004,1
3.6968,0.0149,-0.0002,1
3.6954,0.0149,-0.0001,1
3.6939,0.0150,0.0002,1
3.6924,0.0146,-0.0006,1
3.6909,0.0149,-0.0001,1
3.6896,0.0146,-0.0004,1
3.6879,0.0148,-0.0005,1
3.6865,0.0148,0.0000,1
3.6850,0.0146,-0.0004,1
3.6835,0.0147,-0.0001,1
3.6821,0.0146,-0.0002,1
3.6809,0.0145,-0.0004,1
3.6795,0.0144,-0.0006,1
3.6780,0.0144,-0.0003,1
3.6765,0.0144,-0.0005,1
3.6753,0.0144,-0.0002,1
3.6738,0.0141,-0.0006,1
3.6726,0.0139,-0.0009,1
3.6710,0.0140,-0.0006,1
3.6698,0.0138,-0.0010,1
3.6683,0.0139,-0.0008,1
3.6670,0.0139,-0.0006,1
3.6654,0.0141,-0.0003,1
3.6643,0.0138,-0.0006,1
3.6628,0.0137,-0.0006,1
3.6615,0.0137,-0.0006,1
3.6600,0.0137,-0.0004,1
3.6589,0.0138,-0.0001,1
3.6574,0.0136,-0.0004,1
3.6561,0.0136,-0.0001,1
3.6546,0.0136,-0.0002,1
3.6535,0.0135,-0.0004,1
3.6520,0.0134,-0.0008,1
3.6506,0.0136,-0.0001,1
3.6494,0.0134,-0.0004,1
3.6479,0.0136,-0.0001,1
3.6470,0.0130,-0.0007,1
3.6454,0.0135,-0.0003,1
3.6441,0.0133,-0.0004,1
